machine; formula tape; number steps before formula tape; number macro steps before special case
1RB---_0RC0LE_0LD0RA_1LB1LE_1LC0RA; 0∞<B101(0101)1010100∞; 147; 57
1RB---_0RC0LE_0LD0RA_1LB1LE_1LC0RC; 0∞<B101(0101)1010100∞; 195; 77
1RB---_0RC0LE_0LD0RA_1LB1LE_1LC1LB; 0∞<B101(0101)1010100∞; 171; 67
1RB---_0RC0LE_0LD0RE_1RC1LB_1RA0LC; 0∞0011001(1001)A>0∞; 100; 31
1RB---_0RC0LE_0LD0RE_1LB0LC_1RA1RC; 0∞0011001(1001)A>0∞; 94; 29
1RB---_0RC0LE_0LD1RC_1LB0RE_1RA0LC; 0∞0011001(1001)A>0∞; 100; 31
1RB---_0RC0LE_1RD0RA_0LB1RB_1LE1LD; 0∞<B0100(100)000∞; 105; 42
1RB---_0RC0LE_1RD0RA_1LB1RD_1RE0LD; 0∞<B10010(010)10∞; 121; 45
1RB---_0RC0LE_1RD0RA_1LD1LA_0LC1LB; 0∞<B1010101(0101)0∞; 110; 41
1RB---_0RC0LE_1RD0LA_1RE1RA_1LB0LE; 0∞<B10100010001000(10001000)0010010∞; 574; 200
1RB---_0RC0LE_1RD0LA_1LB0RB_1LB---; 0∞<B10101(0101)0∞; 58; 22
1RB---_0RC0LE_1RD0LB_1RE0RE_1LC1RA; 0∞111011011101(1011101)A>0∞; 262; 83
1RB---_0RC0LE_1RD0LC_1LB1RA_1LC0RB; 0∞(1100110011)A>0∞; 156; 45
1RB---_0RC0LE_1RD0LD_1LC1LB_1RA0RE; 0∞<C10101010(10)010(0)10∞; 121; 39
